Supplier,21st Jun 2021,28th Jun 2021,5th Jul 2021,12th Jul 2021,19th Jul 2021,26th Jul 2021,2nd Aug 2021,9th Aug 2021,16th Aug 2021,23rd Aug 2021,30th Aug 2021,6th Sep 2021,13th Sep 2021,20th Sep 2021,27th Sep 2021,4th Oct 2021,11th Oct 2021,18th Oct 2021,25th Oct 2021,1st Nov 2021,8th Nov 2021,15th Nov 2021,22nd Nov 2021,29th Nov 2021,6th Dec 2021,13th Dec 2021,20th Dec 2021,27th Dec 2021,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Sale Count,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
The Period Co.,23,35,29,35,31,18,18,23,30,24,31,23,26,33,37,34,28,32,37,32,41,28,32,40,42,43,30,27,36,31,25,30,24,22,29,27,22,28,24,23,31,27,30,36,32,17,29,24,17,29,18,27,29,28,19,17,25,28,18,31,23,23,20,23,26,19,24,27,25,24,24,26,33,30,15,23,24,25,28,25,22,17,18,31,25,23,22,24,28,28,30,26,29,19,27,32,35,23,23,15,27,25,27,31,7,2796,130460.25763,0,130460.25762,1,0
You Living,16,12,14,28,25,17,15,19,9,17,20,18,14,14,13,12,17,8,15,20,19,13,25,26,46,42,57,41,25,20,25,28,15,17,26,16,18,22,25,14,19,21,24,33,27,30,30,32,25,30,14,22,14,16,16,21,26,22,17,30,26,21,23,27,24,20,22,28,19,26,23,19,42,37,29,45,46,49,66,31,22,28,14,30,17,8,22,11,17,14,19,17,21,23,25,32,21,32,27,19,28,36,33,21,9,2481,101733.33553,0.59296,101732.74256,0.99999,0
Home & Gifts Enterprise(Petale Tea),8,7,7,9,6,4,4,10,12,7,13,8,4,5,4,7,6,8,10,7,18,15,11,28,91,106,129,11,15,8,6,20,9,15,12,12,9,18,22,15,9,17,18,132,6,16,17,10,12,4,13,9,11,7,8,19,32,28,11,12,18,18,18,17,17,25,13,10,18,13,11,14,15,18,19,41,53,101,133,22,19,16,14,21,12,14,10,11,15,21,18,4,16,9,16,12,20,17,29,13,19,13,16,12,6,2074,100423.49509,0,100423.49509,1,0
Herbs in Sync Pte. Ltd (Iryasa),5,6,9,6,7,5,5,8,8,6,6,5,7,11,4,0,1,6,7,10,7,4,5,18,11,8,13,6,2,5,4,8,13,15,12,5,7,4,24,7,17,10,12,169,9,3,11,6,11,3,2,8,4,6,15,8,15,9,16,33,14,17,26,14,16,14,13,18,15,18,18,17,17,10,21,17,32,40,60,32,22,20,10,32,28,36,28,20,22,30,14,22,11,19,19,18,14,21,15,18,20,20,25,25,7,1612,80950.20006,0,80950.20006,1,0
Oasis Botanicals LLP,9,14,19,9,19,11,8,12,21,11,21,11,14,10,13,10,14,11,10,8,22,12,16,18,18,33,28,21,18,22,12,24,14,11,12,12,9,18,20,16,9,15,27,19,20,15,14,17,14,17,18,31,34,23,26,20,22,21,33,42,27,32,30,30,37,28,40,37,38,30,49,44,55,34,34,55,60,58,52,51,44,36,24,41,45,34,37,40,35,55,43,28,34,32,31,49,49,50,70,49,62,66,59,53,20,2955,76145.80626,0,76145.80626,1,0
Bamboo Straw Girl,34,49,55,34,29,31,49,54,60,47,36,22,26,49,49,43,44,37,36,43,44,35,45,68,55,39,89,62,49,51,34,58,51,40,50,29,30,38,40,49,38,28,44,27,34,34,44,44,34,32,20,36,48,32,34,45,38,38,40,47,31,49,28,45,31,34,30,37,25,21,27,26,44,46,40,62,56,85,88,63,52,36,36,32,45,37,40,39,43,51,39,42,37,46,31,38,37,46,19,21,38,41,47,51,14,4346,72237.4345,0,72237.4345,1,0
Innerfyre Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,12,9,18,19,26,22,29,7,8,7,7,12,8,10,12,6,11,14,10,5,5,6,8,98,15,16,13,13,10,9,14,7,13,12,12,10,15,6,10,15,13,15,14,12,15,10,9,18,16,4,13,10,18,24,24,42,66,107,100,44,15,17,12,20,12,27,23,21,18,26,19,23,20,21,18,22,23,36,23,19,18,26,15,17,10,1644,62872.84176,0,62872.84176,1,0
Ma Te Sai,11,10,11,12,6,10,5,8,10,9,14,6,11,8,7,15,11,11,8,17,20,20,16,37,25,45,37,22,15,14,8,12,24,11,14,15,11,17,9,12,16,16,10,6,10,12,20,13,24,13,16,20,7,15,15,14,14,11,11,11,11,10,12,10,12,10,10,13,14,13,15,10,14,19,17,20,31,28,33,16,9,19,12,16,10,10,7,11,17,18,23,7,12,14,15,19,19,27,27,14,15,15,26,25,4,1567,49134.62832,0,49134.62831,1,0
Indosole,3,5,2,6,5,1,5,8,3,5,6,1,9,5,4,4,9,5,4,3,17,4,6,8,7,9,12,11,11,6,9,8,11,7,6,5,9,9,10,7,3,6,7,6,7,14,8,14,9,9,9,6,8,5,7,3,3,8,4,8,4,7,6,5,6,5,6,5,8,4,10,3,18,10,6,6,7,8,12,11,6,13,9,10,11,15,9,5,13,9,9,6,6,4,4,7,8,3,6,8,7,9,8,10,7,758,44443.8931,0,44443.8931,1,0
Touch The Toes,3,3,4,4,1,3,4,6,3,5,6,2,2,5,5,3,4,6,2,1,7,2,3,4,2,4,5,3,6,4,2,3,4,5,2,1,3,4,2,1,0,1,1,4,1,1,2,3,2,2,2,2,1,4,5,6,4,1,7,4,5,1,5,2,6,1,7,2,2,1,4,2,2,4,6,4,6,8,11,2,3,5,7,4,4,5,3,1,4,11,5,4,8,5,2,5,1,2,6,5,6,7,6,7,3,392,42778.73552,0,42778.73552,1,0
Zhai Pte Ltd,12,18,13,11,9,10,2,13,13,12,8,13,9,8,8,8,27,30,19,22,24,16,18,34,18,41,44,17,30,20,11,11,9,16,18,9,14,10,14,21,22,9,14,11,13,20,25,21,27,22,13,12,15,11,9,11,16,19,16,18,10,11,11,15,16,10,12,25,9,12,9,10,22,20,21,26,44,29,35,16,19,15,7,11,6,9,14,17,16,23,5,9,11,12,11,10,11,17,14,10,9,13,3,12,4,1635,30513.10034,108.69,30404.41034,0.99644,0
Wellness Within,11,19,11,7,12,11,8,15,20,17,18,12,9,15,16,11,7,14,9,8,9,9,15,20,16,24,25,13,17,12,18,16,17,11,18,13,9,11,21,16,9,18,15,16,11,20,14,13,9,17,15,14,16,12,15,9,12,8,7,12,7,4,6,8,7,5,11,14,9,9,6,9,8,10,5,10,7,5,10,7,6,4,3,3,0,3,1,1,1,0,0,0,1,1,0,0,1,1,2,1,2,1,5,5,2,1023,27460.62424,0,27460.62424,1,0
aNERDstore,6,2,3,3,4,6,2,4,2,7,5,6,2,2,2,3,1,3,2,4,5,7,6,6,4,0,10,7,6,5,11,10,3,7,1,3,2,2,3,3,6,6,6,9,6,5,8,5,5,9,6,11,2,2,6,4,8,3,4,1,4,6,6,4,6,3,3,5,4,5,2,2,9,6,4,3,3,3,10,7,9,2,3,6,2,1,6,4,5,3,4,1,1,1,7,3,2,2,9,3,3,1,5,4,2,466,25803.12522,0,25803.12522,1,0
TGCSG,11,20,9,7,13,8,14,8,6,11,13,10,9,9,5,7,12,6,7,10,12,11,18,10,4,11,19,22,19,22,12,30,18,18,25,19,17,17,21,22,14,11,16,27,17,26,28,17,28,17,12,20,26,16,9,9,23,17,24,20,14,17,16,12,15,21,11,18,13,10,17,14,18,15,25,25,23,33,40,32,30,24,16,19,32,11,34,28,26,21,24,18,21,22,20,19,7,11,12,8,5,10,10,12,4,1752,24711.4869,179.5,24531.98691,0.99274,0
Sol+,6,10,8,5,6,5,6,3,4,5,9,7,3,5,4,1,9,9,8,10,9,7,14,19,23,25,21,11,7,4,5,5,15,13,13,7,7,9,6,15,8,11,9,8,5,13,5,10,12,8,4,2,7,7,4,4,4,6,8,10,7,7,6,4,7,1,6,6,4,2,5,7,6,6,5,10,8,11,7,4,1,4,2,5,4,11,7,6,6,5,9,9,7,11,6,8,7,6,8,7,4,3,3,14,3,778,24328.29053,0,24328.29053,1,0
RG Velvet(Natural World Eco),1,7,5,4,3,4,4,3,2,2,3,8,2,3,3,7,4,5,3,4,2,2,5,4,4,10,8,6,4,1,5,5,3,3,6,4,6,4,2,5,6,7,4,3,1,7,8,6,1,3,1,8,3,5,5,2,1,2,5,5,2,5,0,3,0,3,1,0,0,2,5,3,2,4,1,3,2,3,0,1,1,4,2,2,2,1,5,2,2,3,1,1,5,2,2,1,1,1,1,1,1,3,1,1,1,336,24145.07889,65,24080.07889,0.99731,0
August Society,5,2,2,3,3,0,1,3,7,1,0,3,4,1,3,0,0,6,2,3,0,3,3,6,2,3,3,2,4,7,2,1,0,3,1,2,5,2,4,5,2,5,2,3,7,11,3,11,1,4,3,3,0,1,1,0,2,2,2,2,1,2,0,4,2,1,2,4,3,2,2,2,0,3,3,1,2,6,7,3,1,1,1,2,0,2,5,2,4,2,3,7,2,5,1,1,2,2,3,0,1,1,0,1,0,271,23756.47616,115,23641.47616,0.99516,0
Purple & Pure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,5,7,1,4,3,4,4,3,19,15,15,21,17,19,11,15,9,24,17,23,21,16,11,19,20,27,33,43,46,52,54,22,16,14,22,26,24,24,26,20,20,19,26,11,17,36,16,26,24,37,33,20,24,21,29,19,11,1173,23734.6214,0,23734.62139,1,0
Unplastik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,8,6,9,1,2,2,0,1,2,3,3,1,4,0,7,6,4,13,4,2,20,11,5,14,20,8,1,6,6,4,9,6,11,7,7,11,9,7,12,13,8,9,16,12,12,6,5,10,9,5,12,16,25,20,25,15,8,3,5,11,8,6,7,9,8,7,14,6,5,9,11,4,5,8,9,6,6,11,6,9,7,664,19998.52612,0,19998.52612,1,0
Ceramics by Jas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,1,16,12,10,16,1,2,2,4,2,8,5,3,8,7,6,5,2,4,6,6,5,4,2,5,2,6,4,3,5,1,1,0,3,7,6,8,5,4,3,2,5,3,4,8,11,4,12,7,3,4,3,3,13,9,14,12,8,4,8,6,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,18263.52783,0,18263.52783,1,0
Bunny Trading House,11,13,11,11,11,7,5,8,12,10,7,8,1,8,5,6,7,8,4,7,10,8,7,9,16,29,37,23,7,15,13,9,8,10,6,17,12,10,16,7,8,16,8,6,6,18,9,8,5,7,9,8,8,5,5,7,4,6,4,9,5,6,10,4,3,7,4,4,3,11,5,5,10,5,4,5,9,13,9,8,7,9,7,7,5,2,10,5,5,7,9,4,3,3,2,6,4,5,8,5,7,4,8,7,2,856,17914.62895,0,17914.62896,1,0
Arthur Zaaro,3,5,2,4,2,1,3,1,1,1,2,5,3,4,3,1,3,3,3,2,6,5,2,6,5,3,4,3,1,3,2,2,3,3,0,4,4,0,2,2,1,1,2,1,2,1,2,0,3,2,2,4,5,3,2,2,3,1,1,3,0,3,0,3,0,0,4,0,1,1,1,4,2,4,3,3,1,8,12,2,3,2,1,1,2,3,3,4,2,2,6,0,3,2,3,3,2,4,5,2,5,3,5,6,3,280,17840.45,0,17840.45,1,0
Taikensonzai(Muta),6,3,4,4,5,6,4,7,4,5,6,7,5,3,1,4,3,1,3,8,3,4,9,8,9,7,20,3,5,6,4,3,7,0,9,4,3,2,2,3,3,8,0,6,2,6,7,4,7,6,3,5,7,7,2,5,6,5,5,3,3,4,6,5,4,1,2,2,1,1,2,3,6,3,4,2,2,11,8,3,4,2,0,2,2,4,0,0,4,2,2,3,1,4,2,2,5,6,2,2,3,3,2,4,1,432,17751.29,0,17751.29,1,0
Havalina,0,0,3,1,1,3,4,3,3,1,1,5,1,4,1,3,2,3,3,2,6,4,5,9,6,6,6,0,3,3,3,2,2,3,4,2,4,3,3,5,2,3,1,1,1,3,6,5,6,2,4,1,0,1,2,2,2,1,1,1,0,4,5,2,4,3,3,3,2,8,2,4,8,4,1,5,4,7,11,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,5,4,0,2,1,282,17067.71034,0,17067.71034,1,0
Talking Toes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,7,8,16,20,13,19,20,36,27,51,26,12,7,13,15,14,15,13,16,16,17,8,12,5,14,11,14,23,18,18,17,13,14,18,20,6,622,15937.10148,0,15937.10131,1,0
NATURALSPOT PTE. LTD.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,14,23,24,21,8,14,11,11,13,10,20,33,19,22,27,26,18,28,22,21,33,34,23,49,27,30,30,20,24,21,694,15471.33323,0,15471.33323,1,0
Tru Earth,2,6,9,6,7,12,5,12,6,7,4,7,2,6,5,7,8,7,6,7,7,7,9,14,4,1,9,5,6,6,0,2,5,6,6,3,3,9,6,5,4,1,4,3,6,4,5,9,1,3,4,3,6,6,1,2,1,3,2,3,1,2,6,2,3,5,2,6,3,2,6,8,2,2,2,7,4,7,3,0,4,3,3,1,1,4,6,2,2,4,3,4,2,4,1,3,2,1,3,4,3,7,3,3,0,461,15109.78244,10376.33409,4733.44835,0.31327,0
ERGO - Front & Center Pte Ltd,2,5,5,2,2,1,1,3,1,4,9,3,0,3,1,4,2,3,1,0,6,3,2,6,4,14,9,4,3,0,0,2,1,4,1,3,1,0,5,5,2,3,2,0,2,1,1,3,3,0,1,2,4,0,1,2,2,2,5,3,5,5,5,3,0,1,1,4,4,0,1,3,2,1,2,7,7,10,13,6,5,6,2,5,3,9,7,2,5,5,10,8,7,8,6,13,6,7,13,6,7,4,7,9,1,405,13975.85471,0,13975.85471,1,0
Freedom Cups,4,9,2,5,4,4,10,3,1,3,6,3,3,5,3,1,3,3,3,3,6,3,4,2,1,7,5,6,5,6,2,1,2,6,5,3,3,4,2,2,5,2,3,1,2,5,6,4,3,1,1,4,5,7,1,0,2,6,7,8,6,0,5,1,2,7,5,9,4,3,3,1,3,3,1,2,5,2,2,6,1,3,1,4,0,5,4,1,4,5,5,4,6,5,3,2,4,5,2,2,2,3,7,7,3,384,13769.80785,0,13769.80785,1,0
Annette,5,0,5,2,0,3,4,6,3,3,4,4,3,2,1,4,5,4,2,3,3,4,2,6,10,7,11,8,4,4,1,3,6,2,4,5,1,2,5,1,3,2,3,2,4,4,2,1,3,2,1,3,2,4,0,0,0,3,6,1,2,2,4,4,2,2,5,3,4,2,2,1,5,2,1,7,5,10,13,4,7,3,1,5,1,5,1,3,3,3,1,1,2,6,1,2,4,4,2,3,3,6,4,2,0,351,13734.72093,0,13734.72093,1,0
Arken Enterprises(Desi),1,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,2,0,3,0,3,1,3,4,1,1,0,1,3,0,0,1,1,2,0,0,0,1,1,0,0,0,2,0,1,1,2,0,0,2,0,1,0,0,0,0,4,1,3,1,0,0,1,0,2,2,1,0,2,3,0,1,1,1,0,2,4,2,2,0,2,0,0,1,0,1,0,0,1,2,1,2,1,2,2,3,3,1,2,2,3,2,113,13212.53333,0,13212.53333,1,0
Purnama Outreach,2,2,2,2,3,1,0,3,1,1,3,0,0,1,2,1,1,0,2,4,0,1,3,2,3,4,3,0,4,0,4,3,4,2,3,3,0,3,0,1,7,9,5,2,8,4,4,1,2,2,3,4,2,3,2,4,2,5,2,7,3,4,2,7,2,2,3,2,0,2,7,2,7,5,2,8,10,4,9,5,2,4,2,6,2,0,1,6,4,5,1,1,2,2,5,4,1,1,5,0,3,5,0,0,0,300,12487.99001,0,12487.99001,1,0
PaperClips,4,0,8,6,5,2,5,6,6,0,3,7,5,4,4,4,5,4,3,3,0,5,14,7,23,27,26,0,0,0,4,2,3,3,2,5,6,7,3,4,1,2,5,1,6,8,0,6,4,5,3,3,3,6,2,0,0,2,0,1,0,4,9,5,3,2,6,5,6,1,2,0,4,1,0,3,19,16,31,13,1,3,2,1,1,4,2,2,2,1,3,1,0,2,1,1,1,6,4,4,0,3,0,3,0,461,10003.95194,5044.57,4959.38194,0.49574,0
My Naked Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11,15,5,8,15,16,23,14,11,7,1,9,10,6,10,14,7,17,16,9,11,11,15,11,14,12,16,16,12,15,19,24,19,4,437,9785.01568,0,9785.01568,1,0
Greek-Kouzina,3,7,4,6,5,5,2,3,6,4,4,4,2,2,4,0,7,3,4,6,9,3,5,7,9,8,9,7,5,4,2,2,3,3,7,4,0,2,3,4,4,3,4,3,5,9,5,3,3,3,2,2,1,1,4,1,3,3,3,4,0,3,3,1,1,2,1,3,0,1,2,3,5,2,1,2,1,4,3,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,292,9432.47623,0,9432.47623,1,0
Bunny Planet,1,0,0,3,1,1,1,1,3,1,1,0,1,1,1,4,3,2,1,7,3,4,4,4,7,6,18,3,3,1,2,1,4,2,3,0,1,1,2,4,6,1,4,0,3,2,3,1,3,3,1,1,2,2,5,5,3,3,1,0,3,3,8,2,0,2,3,2,2,2,1,4,3,5,3,13,7,14,19,6,3,3,2,6,0,0,3,2,3,2,0,0,1,2,1,2,0,2,1,0,1,4,1,5,0,301,9296.81239,0,9296.81239,1,0
Old East Indies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,2,1,3,3,1,0,2,0,0,2,0,1,0,2,2,2,3,1,1,3,3,0,1,0,2,6,0,1,2,0,4,2,0,0,2,3,2,3,1,2,1,4,1,1,6,3,3,4,3,3,1,4,3,5,4,4,4,0,3,1,3,4,3,139,9233.945,0,9233.945,1,0
Looasia Pte Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,9,15,12,21,27,12,5,7,3,7,1,6,6,12,15,17,3,8,2,10,8,8,3,12,3,4,9,4,9,9,10,311,8519.615,0,8519.615,1,0
Jezzroom,15,9,10,7,6,6,7,6,5,9,4,10,9,3,3,3,7,6,5,10,4,5,3,14,14,35,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,8268.6715,0,8268.6715,1,0
Altereco,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,6,5,0,2,3,4,8,4,5,10,8,7,9,2,2,2,5,3,3,1,6,6,7,5,6,5,6,8,6,4,7,5,5,7,9,5,5,3,3,3,2,4,3,3,2,4,2,10,7,6,3,6,8,10,4,6,5,6,7,6,8,15,21,20,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,389,8089.79392,0,8089.7939,1,0
Breeze For You,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,6,4,1,6,1,5,0,2,5,2,3,1,2,0,0,3,2,3,3,2,2,2,1,1,4,2,1,1,11,1,3,1,4,3,0,3,2,1,2,6,0,2,3,1,3,2,2,3,3,5,6,5,2,2,1,2,5,4,1,4,2,3,5,1,3,4,1,2,3,3,5,2,6,3,1,2,3,224,7879.49,0,7879.49,1,0
The Eco-Statement,5,7,7,9,2,1,1,6,7,9,10,6,9,6,8,4,2,5,9,7,5,6,13,19,15,16,13,5,11,8,3,3,10,5,6,6,8,6,6,5,5,6,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,2,0,2,0,1,0,0,1,324,6612.6895,11,6601.6895,0.99834,0
kawah coffee,17,10,5,11,9,3,3,3,11,6,6,2,4,6,5,5,6,3,9,7,9,11,11,13,16,24,30,12,4,1,2,5,9,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,5702.53,0,5702.53,1,0
Sacha Botanicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,8,18,8,2,0,4,7,2,3,4,7,6,5,7,9,4,10,4,6,11,14,17,11,10,12,12,11,3,235,5474.2918,0,5474.2918,1,0
Skinnies,9,7,1,3,3,2,2,8,1,5,3,4,2,3,5,3,5,2,4,4,4,3,3,5,7,3,8,6,4,2,4,3,6,5,4,4,3,6,8,5,4,8,9,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5350.4495,3880.56324,1469.88626,0.27472,0
Quality Products Pte Ltd(UrbanComposter),0,3,1,3,3,1,5,3,1,0,2,1,4,0,1,0,2,0,4,0,1,3,1,1,2,2,3,3,1,1,1,0,1,2,3,0,1,3,2,5,4,0,3,1,2,0,1,4,9,1,3,2,2,3,1,2,1,0,1,7,4,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,142,5327.24228,2070.65824,3256.58404,0.61131,0
Ikkikidz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,4,4,4,4,5,5,9,3,13,3,4,8,8,2,2,0,2,2,1,1,93,5268.43444,0,5268.43444,1,0
